Student_Ref,Gender,Math,Phys,Eng,ICT,EmSAT_Eng,Target_Uni,Pathway,STEM_Strength,Academic_Readiness
ID_3135,F,58.3,58.6,71.4,84.7,1661.0,Heriot-Watt,Year 13,58.45,64.92500000000001
ID_6613,F,77.9,32.9,76.8,81.1,1595.0,RIT Dubai,Year 13,55.400000000000006,66.1
ID_4715,M,51.4,38.6,81.2,92.6,1457.0,Murdoch,Foundation,45.0,63.1
ID_6655,F,70.4,70.9,67.9,100.4,1518.0,Manipal,Foundation,70.65,69.275
ID_9111,M,52.1,78.1,67.5,64.4,1592.0,UOWD,Year 13,65.1,66.3
ID_8617,M,89.0,81.4,94.0,75.1,1212.0,Heriot-Watt,Year 13,85.2,89.6
ID_8147,F,56.7,48.7,83.8,75.1,1702.0,Manipal,Foundation,52.7,68.25
ID_8770,F,78.1,59.7,102.2,85.5,1186.0,RIT Dubai,Year 13,68.9,85.55000000000001
ID_8126,M,53.9,74.6,73.8,86.9,1287.0,ADU,Foundation,64.25,69.025
ID_5435,F,81.7,56.1,83.6,80.6,1089.0,Middlesex Dubai,Foundation,68.9,76.25
ID_4207,F,72.6,72.7,77.3,68.3,1664.0,Heriot-Watt,Foundation,72.65,74.975
ID_9024,M,70.8,86.7,85.5,61.5,1166.0,CUD,Foundation,78.75,82.125
ID_5982,M,77.7,75.3,75.2,88.5,1759.0,CUD,Foundation,76.5,75.85
ID_6449,F,70.1,84.1,81.5,74.2,1590.0,AUS,Foundation,77.1,79.3
ID_5345,F,58.4,60.3,74.6,71.6,953.0,AUD,Foundation,59.349999999999994,66.975
ID_8889,M,75.4,55.6,85.9,78.8,1131.0,Manipal,Foundation,65.5,75.7
ID_7717,M,59.3,78.6,98.9,100.1,1741.0,Uni of Dubai,Year 13,68.94999999999999,83.925
ID_7704,M,82.4,24.5,76.9,70.1,1613.0,Middlesex Dubai,Year 13,53.45,65.17500000000001
ID_8936,M,70.4,62.7,67.3,97.9,1316.0,UOWD,Foundation,66.55000000000001,66.92500000000001
ID_4859,F,65.2,100.3,79.0,62.9,1629.0,CUD,Year 13,82.75,80.875
ID_9650,M,101.8,85.6,67.7,62.6,1341.0,CUD,Foundation,93.69999999999999,80.69999999999999
ID_8001,F,98.1,0.2,64.8,75.0,1088.0,Heriot-Watt,Foundation,49.15,56.974999999999994
ID_2527,M,94.5,36.4,73.7,72.4,1415.0,BUiD,Foundation,65.45,69.575
ID_3818,F,105.2,45.4,79.6,80.4,1250.0,AUS,Foundation,75.3,77.44999999999999
ID_9103,M,71.0,57.3,56.0,93.4,1246.0,Murdoch,Foundation,64.15,60.075
ID_4039,F,101.7,62.0,80.9,81.4,1244.0,AUD,Foundation,81.85,81.375
ID_5190,M,66.9,55.1,68.8,73.7,1638.0,CUD,Year 13,61.0,64.9
ID_6082,F,91.8,81.3,81.3,68.1,1260.0,AUD,Year 13,86.55,83.925
ID_2527,F,81.2,77.2,57.1,63.4,1233.0,Murdoch,Year 13,79.2,68.15
ID_2973,M,87.4,60.6,86.0,87.9,1603.0,UOWD,Year 13,74.0,80.0
ID_3749,F,89.6,65.4,72.6,88.2,1332.0,KU,Year 13,77.5,75.05
ID_7931,M,60.8,66.9,81.0,68.2,1923.0,Birmingham Uni,Foundation,63.85,72.425
ID_1293,M,54.9,40.7,82.7,86.0,1225.0,KU,Year 13,47.8,65.25
ID_1741,M,69.9,84.5,73.5,68.1,1320.0,Murdoch,Year 13,77.2,75.35
ID_8797,F,76.2,53.7,70.7,80.4,1540.0,BUiD,Foundation,64.95,67.825
ID_8770,F,83.1,36.0,60.9,69.4,1347.0,Uni of Dubai,Foundation,59.55,60.224999999999994
ID_7020,F,74.7,94.5,72.0,77.9,1229.0,Amity,Year 13,84.6,78.3
ID_8268,M,69.3,71.5,66.7,84.2,1783.0,RIT Dubai,Foundation,70.4,68.55000000000001
ID_8572,M,68.4,73.0,71.6,83.5,1417.0,BUiD,Foundation,70.7,71.15
ID_1146,F,84.8,67.0,67.3,78.3,1524.0,Heriot-Watt,Year 13,75.9,71.6
ID_4965,F,91.8,84.2,87.0,99.8,1372.0,RIT Dubai,Foundation,88.0,87.5
ID_8891,F,84.6,48.2,69.0,52.5,1269.0,Uni of Dubai,Foundation,66.4,67.7
ID_6744,F,58.6,68.0,55.9,82.3,1543.0,BUiD,Year 13,63.3,59.599999999999994
ID_4050,M,84.6,38.6,93.3,92.2,1283.0,Birmingham Uni,Foundation,61.599999999999994,77.44999999999999
ID_6876,F,44.3,92.1,77.8,81.3,787.0,ADU,Foundation,68.19999999999999,73.0
ID_3188,F,56.5,65.1,75.5,72.6,1556.0,Zayed Uni,Year 13,60.8,68.15
ID_1403,M,54.0,62.2,61.3,84.4,1665.0,BUiD,Foundation,58.1,59.7
ID_8659,F,93.1,71.6,67.5,96.6,1429.0,Birmingham Uni,Foundation,82.35,74.925
ID_9614,F,87.7,66.4,85.3,80.0,1145.0,AUS,Foundation,77.05000000000001,81.17500000000001
ID_1960,F,70.4,77.9,88.7,66.4,1572.0,Murdoch,Foundation,74.15,81.42500000000001
ID_1827,F,85.9,29.8,83.9,76.4,1450.0,BUiD,Foundation,57.85,70.875
ID_3822,M,37.4,97.6,61.2,57.6,1386.0,KU,Year 13,67.5,64.35
ID_1241,M,75.8,64.3,86.2,60.7,1369.0,Murdoch,Year 13,70.05,78.125
ID_5934,M,68.9,72.3,65.6,71.8,1135.0,Amity,Foundation,70.6,68.1
ID_9291,M,69.1,84.1,70.5,72.3,1196.0,Amity,Foundation,76.6,73.55
ID_6678,F,61.6,62.9,64.6,71.4,1101.0,UOWD,Year 13,62.25,63.425
ID_1632,F,70.4,65.7,80.1,92.5,1613.0,Murdoch,Foundation,68.05000000000001,74.075
ID_4110,M,60.7,54.4,69.2,74.7,825.0,RIT Dubai,Foundation,57.55,63.375
ID_5244,M,47.3,92.3,83.5,66.1,1407.0,CUD,Foundation,69.8,76.65
ID_6514,F,84.5,62.4,65.4,58.7,1451.0,Uni of Dubai,Year 13,73.45,69.42500000000001
ID_2770,F,70.4,36.6,64.4,70.1,1207.0,Birmingham Uni,Foundation,53.5,58.95
ID_3353,F,64.7,98.7,83.8,77.9,1770.0,CUD,Year 13,81.7,82.75
ID_3255,F,71.2,47.8,70.6,97.0,1303.0,Amity,Foundation,59.5,65.05
ID_1870,M,60.0,83.5,94.1,61.2,1541.0,Birmingham Uni,Foundation,71.75,82.925
ID_4216,F,60.2,55.3,66.7,71.5,774.0,CUD,Foundation,57.75,62.225
ID_2857,F,80.3,60.2,65.9,71.1,1589.0,Manipal,Foundation,70.25,68.075
ID_1835,M,77.5,45.4,95.4,97.4,1633.0,BUiD,Year 13,61.45,78.42500000000001
ID_5071,F,58.6,49.7,57.0,58.5,1412.0,AUS,Foundation,54.150000000000006,55.575
ID_3560,M,73.9,46.9,63.6,81.2,2096.0,UOWD,Year 13,60.400000000000006,62.0
ID_7188,F,45.8,47.8,71.2,90.1,1256.0,Heriot-Watt,Foundation,46.8,59.0
ID_2625,M,82.5,42.4,67.8,107.2,957.0,UOWD,Foundation,62.45,65.125
ID_8890,F,54.5,72.4,69.0,79.0,1361.0,ADU,Year 13,63.45,66.225
ID_3305,M,87.5,70.1,69.1,85.1,1320.0,UOWD,Foundation,78.8,73.94999999999999
ID_2509,F,65.2,70.8,95.8,88.5,1318.0,Zayed Uni,Foundation,68.0,81.9
ID_3160,F,88.0,56.8,68.2,51.2,1663.0,Murdoch,Foundation,72.4,70.30000000000001
ID_5369,F,57.3,71.5,72.8,88.0,847.0,Murdoch,Foundation,64.4,68.6
ID_6579,F,73.5,80.4,76.7,84.8,1181.0,Uni of Dubai,Foundation,76.95,76.825
ID_3726,F,64.0,77.7,97.7,80.2,1462.0,Zayed Uni,Year 13,70.85,84.275
ID_1396,M,63.1,48.0,90.1,82.8,1313.0,Middlesex Dubai,Foundation,55.55,72.82499999999999
ID_9162,F,82.4,59.6,65.2,72.7,1494.0,Heriot-Watt,Year 13,71.0,68.1
ID_1063,F,81.4,46.6,88.9,90.1,992.0,Middlesex Dubai,Foundation,64.0,76.45
ID_9989,F,74.2,29.4,90.0,85.9,1386.0,KU,Foundation,51.8,70.9
ID_3265,F,74.2,42.5,73.0,78.6,1846.0,Manipal,Foundation,58.35,65.675
ID_6232,M,78.9,49.2,79.7,100.6,1736.0,Middlesex Dubai,Year 13,64.05000000000001,71.875
ID_3135,F,93.9,54.8,74.1,87.4,2035.0,AUS,Foundation,74.35,74.225
ID_5886,F,77.9,61.8,70.7,65.9,986.0,UOWD,Foundation,69.85,70.275
ID_2613,F,82.3,66.5,87.7,68.2,1024.0,AUS,Foundation,74.4,81.05000000000001
ID_8975,F,66.1,60.1,72.3,45.6,1386.0,KU,Year 13,63.099999999999994,67.69999999999999
ID_5567,F,66.5,78.9,64.8,84.2,1200.0,AUS,Foundation,72.7,68.75
ID_8748,F,67.5,116.5,75.6,78.2,1394.0,AUD,Foundation,92.0,83.8
ID_5848,F,73.0,62.1,100.7,64.7,1747.0,Birmingham Uni,Foundation,67.55,84.125
ID_2432,F,30.1,89.9,54.3,73.9,1307.0,AUD,Foundation,60.0,57.15
ID_4630,F,48.9,49.4,71.4,77.2,1521.0,CUD,Year 13,49.15,60.275000000000006
ID_9745,M,58.4,79.4,63.7,71.7,1522.0,Birmingham Uni,Foundation,68.9,66.30000000000001
ID_7108,F,51.7,79.3,83.1,66.7,1459.0,Amity,Year 13,65.5,74.3
ID_3692,M,73.8,43.4,81.2,85.1,1323.0,CUD,Year 13,58.599999999999994,69.9
ID_7021,M,74.9,40.0,62.6,68.2,1729.0,KU,Foundation,57.45,60.025000000000006
ID_4675,F,43.7,39.4,92.5,53.0,1824.0,KU,Foundation,41.55,67.025
ID_9090,F,73.2,63.1,84.7,77.6,1316.0,Manipal,Year 13,68.15,76.42500000000001
ID_7619,F,70.4,71.2,57.9,61.8,1586.0,Middlesex Dubai,Foundation,70.80000000000001,64.35000000000001
ID_3259,F,72.6,61.3,62.1,79.2,993.0,RIT Dubai,Foundation,66.94999999999999,64.52499999999999
ID_2237,F,78.3,85.6,79.7,81.1,1646.0,Murdoch,Year 13,81.94999999999999,80.82499999999999
ID_6061,M,95.0,85.3,73.4,87.7,1496.0,KU,Foundation,90.15,81.775
ID_4369,F,70.4,75.4,67.7,80.2,1211.0,Heriot-Watt,Foundation,72.9,70.30000000000001
ID_4708,M,60.8,36.9,88.4,67.4,1543.0,Uni of Dubai,Year 13,48.849999999999994,68.625
ID_5227,F,43.7,74.9,76.8,67.7,1575.0,RIT Dubai,Foundation,59.300000000000004,68.05
ID_2253,F,61.4,67.4,58.1,89.8,1312.0,Murdoch,Year 13,64.4,61.25
ID_5022,M,73.6,64.3,92.7,70.5,1853.0,AUS,Foundation,68.94999999999999,80.82499999999999
ID_7566,F,80.6,53.8,64.1,89.2,959.0,AUS,Foundation,67.19999999999999,65.64999999999999
ID_6283,M,87.2,63.5,81.2,80.1,1066.0,Uni of Dubai,Foundation,75.35,78.275
ID_7556,F,75.7,77.2,87.9,90.7,1287.0,Zayed Uni,Year 13,76.45,82.17500000000001
ID_7576,F,79.5,73.6,77.1,81.3,1081.0,Heriot-Watt,Foundation,76.55,76.82499999999999
ID_6561,F,53.8,86.1,86.3,77.0,1284.0,Murdoch,Year 13,69.94999999999999,78.125
ID_8527,F,83.3,66.9,70.4,72.8,1323.0,Manipal,Year 13,75.1,72.75
ID_2177,F,73.3,55.4,72.4,79.6,1503.0,UOWD,Foundation,64.35,68.375
ID_8987,F,41.1,85.6,60.1,81.2,1622.0,Murdoch,Year 13,63.349999999999994,61.724999999999994
ID_7475,F,71.2,86.3,87.2,69.8,1273.0,Middlesex Dubai,Year 13,78.75,82.975
ID_6477,F,32.7,56.1,89.5,97.0,1269.0,Uni of Dubai,Foundation,44.400000000000006,66.95
ID_1062,F,63.7,59.4,64.9,65.4,917.0,Manipal,Foundation,61.55,63.225
ID_2932,M,51.9,84.7,72.9,77.4,1569.0,AUD,Foundation,68.3,70.6
ID_1369,F,53.2,72.6,86.7,97.5,1008.0,KU,Foundation,62.9,74.8
ID_4203,M,71.1,52.5,69.4,70.4,1697.0,Amity,Year 13,61.8,65.6
ID_5964,F,91.3,53.6,78.4,73.5,1224.0,RIT Dubai,Year 13,72.45,75.42500000000001
ID_8908,M,59.4,96.0,93.0,70.6,1303.0,RIT Dubai,Year 13,77.7,85.35
ID_6028,M,74.3,71.7,66.5,79.3,963.0,KU,Foundation,73.0,69.75
ID_5492,M,51.1,64.3,92.9,71.8,1456.0,Amity,Year 13,57.7,75.30000000000001
ID_1803,F,69.8,88.8,87.1,82.1,1731.0,ADU,Year 13,79.3,83.19999999999999
ID_6750,F,53.0,76.7,71.4,85.1,1677.0,Murdoch,Year 13,64.85,68.125
ID_3271,F,82.3,75.1,85.1,96.4,1238.0,CUD,Year 13,78.69999999999999,81.89999999999999
ID_4296,F,77.2,61.7,76.5,92.5,1196.0,Amity,Foundation,69.45,72.975
ID_5581,F,75.5,57.1,72.7,78.0,1604.0,RIT Dubai,Year 13,66.3,69.5
ID_8032,M,47.7,37.8,82.5,85.7,1941.0,BUiD,Year 13,42.75,62.625
ID_7812,F,65.4,69.4,80.4,78.6,1702.0,Murdoch,Foundation,67.4,73.9
ID_5436,M,48.4,56.1,76.9,90.9,1143.0,KU,Foundation,52.25,64.575
ID_2794,F,72.0,51.0,70.2,79.5,1492.0,Murdoch,Foundation,61.5,65.85
ID_9738,F,70.4,96.3,74.3,71.3,1870.0,UOWD,Foundation,83.35,78.82499999999999
ID_7460,F,48.3,21.0,81.5,89.8,1680.0,Birmingham Uni,Foundation,34.65,58.075
ID_9631,F,89.7,78.0,74.0,100.2,1132.0,UOWD,Year 13,83.85,78.925
ID_2804,M,47.1,51.2,84.0,75.5,1222.0,Uni of Dubai,Foundation,49.150000000000006,66.575
ID_1430,F,70.4,40.0,89.4,77.0,1679.0,AUS,Foundation,55.2,72.30000000000001
ID_6724,M,75.1,74.1,79.6,85.3,1164.0,Birmingham Uni,Year 13,74.6,77.1
ID_1118,M,70.4,68.9,82.1,76.9,1760.0,UOWD,Foundation,69.65,75.875
ID_5258,F,59.9,101.0,67.6,77.8,1002.0,Zayed Uni,Foundation,80.45,74.025
ID_7442,M,78.5,56.1,56.1,72.6,794.0,ADU,Foundation,67.3,61.7
ID_5154,F,46.2,80.2,78.7,83.7,1394.0,Zayed Uni,Year 13,63.2,70.95
ID_2956,F,61.4,64.9,63.4,96.0,1619.0,RIT Dubai,Foundation,63.150000000000006,63.275000000000006
ID_1850,M,66.7,65.5,66.2,78.5,1333.0,CUD,Year 13,66.1,66.15
ID_2093,M,68.7,45.0,72.2,99.6,1560.0,ADU,Year 13,56.85,64.525
ID_7127,M,61.4,76.5,77.8,68.4,1853.0,RIT Dubai,Foundation,68.95,73.375
ID_1102,M,75.4,82.9,81.4,90.6,1266.0,Zayed Uni,Foundation,79.15,80.275
ID_1392,F,89.8,69.0,79.0,104.2,1308.0,Birmingham Uni,Foundation,79.4,79.2
ID_1712,F,73.1,52.0,70.2,74.2,1506.0,CUD,Year 13,62.55,66.375
ID_5031,F,77.8,53.5,104.7,76.8,1167.0,BUiD,Year 13,65.65,85.17500000000001
ID_8409,F,81.3,65.8,76.2,85.4,1144.0,ADU,Foundation,73.55,74.875
ID_9766,M,66.1,31.6,84.3,88.5,934.0,ADU,Foundation,48.849999999999994,66.57499999999999
ID_5467,M,56.5,69.5,85.5,98.2,1285.0,AUS,Year 13,63.0,74.25
ID_8932,M,86.2,64.2,58.7,71.1,1600.0,UOWD,Year 13,75.2,66.95
ID_1257,F,72.7,94.5,88.8,70.5,1499.0,Zayed Uni,Foundation,83.6,86.19999999999999
ID_5438,F,77.4,70.2,78.2,74.5,987.0,Zayed Uni,Foundation,73.80000000000001,76.0
ID_2830,F,69.2,80.4,46.5,91.8,965.0,RIT Dubai,Foundation,74.80000000000001,60.650000000000006
ID_7062,M,64.6,42.6,83.1,63.1,1677.0,Birmingham Uni,Year 13,53.599999999999994,68.35
ID_2208,F,59.4,64.1,79.8,78.9,1079.0,Birmingham Uni,Foundation,61.75,70.775
ID_8453,F,84.9,55.1,81.5,61.3,1190.0,UOWD,Year 13,70.0,75.75
ID_2022,M,77.8,58.6,95.8,82.6,1508.0,Uni of Dubai,Year 13,68.2,82.0
ID_7278,F,85.5,69.8,71.7,71.4,1412.0,AUD,Year 13,77.65,74.67500000000001
ID_9770,F,59.7,79.7,74.2,78.9,900.0,AUS,Foundation,69.7,71.95
ID_2887,F,83.7,71.9,54.0,113.3,1182.0,UOWD,Foundation,77.80000000000001,65.9
ID_6665,F,70.4,87.2,64.6,85.4,1137.0,AUD,Foundation,78.80000000000001,71.7
ID_7173,F,60.6,103.3,80.5,67.0,1392.0,Manipal,Year 13,81.95,81.225
ID_1095,M,100.1,69.0,85.5,91.3,1697.0,AUD,Year 13,84.55,85.025
ID_4590,F,79.6,42.1,67.3,81.6,1651.0,Heriot-Watt,Foundation,60.849999999999994,64.07499999999999
ID_1964,F,66.2,97.3,79.5,75.1,1641.0,Amity,Year 13,81.75,80.625
ID_7565,F,87.8,40.4,82.2,85.6,1722.0,UOWD,Year 13,64.1,73.15
ID_1458,F,66.1,61.5,75.2,64.8,1040.0,KU,Foundation,63.8,69.5
ID_2270,M,93.9,48.1,59.5,74.4,1077.0,Manipal,Foundation,71.0,65.25
ID_4844,F,61.0,97.8,85.1,69.7,1963.0,AUD,Year 13,79.4,82.25
ID_1600,M,84.7,58.5,70.5,77.8,1111.0,Birmingham Uni,Year 13,71.6,71.05
ID_4579,M,47.0,85.5,99.4,94.6,1541.0,Murdoch,Foundation,66.25,82.825
ID_4850,F,78.9,82.1,72.5,82.7,1353.0,ADU,Year 13,80.5,76.5
ID_1928,M,78.3,31.1,74.0,66.1,1124.0,AUD,Foundation,54.7,64.35
ID_8204,F,72.7,92.8,90.1,87.3,1249.0,UOWD,Foundation,82.75,86.425
ID_1540,F,46.2,76.0,65.3,79.3,1066.0,Uni of Dubai,Foundation,61.1,63.2
ID_4370,M,61.0,71.4,89.0,77.1,1255.0,Manipal,Foundation,66.2,77.6
ID_7134,M,71.0,67.4,80.4,78.6,1410.0,Heriot-Watt,Foundation,69.2,74.80000000000001
ID_1949,F,59.5,51.7,86.5,74.4,1331.0,UOWD,Year 13,55.6,71.05
ID_2378,M,81.3,50.6,83.9,74.5,1712.0,AUD,Foundation,65.95,74.92500000000001
ID_8470,F,59.9,70.6,97.2,63.1,1531.0,ADU,Year 13,65.25,81.225
ID_5007,M,59.0,61.3,73.7,78.5,1363.0,Heriot-Watt,Year 13,60.15,66.925
ID_9383,M,84.5,109.2,89.6,57.8,1479.0,KU,Foundation,96.85,93.225
ID_4616,F,70.0,48.9,91.4,98.1,1262.0,KU,Year 13,59.45,75.42500000000001
ID_6775,F,78.5,97.6,64.0,69.5,1253.0,Manipal,Year 13,88.05,76.025
ID_6930,F,67.0,69.7,59.4,82.0,1608.0,KU,Year 13,68.35,63.875
ID_2993,F,40.1,72.5,81.9,101.4,1335.0,RIT Dubai,Year 13,56.3,69.1
ID_5779,F,95.9,76.2,75.8,84.5,1170.0,Murdoch,Year 13,86.05000000000001,80.92500000000001
ID_3536,F,72.5,36.7,90.8,74.3,1729.0,ADU,Foundation,54.6,72.7
ID_1699,M,51.8,43.2,71.8,92.6,1435.0,Heriot-Watt,Year 13,47.5,59.65
ID_5062,M,104.8,72.9,69.7,82.3,1526.0,Amity,Foundation,88.85,79.275
ID_3677,F,78.7,49.3,61.7,56.0,1527.0,CUD,Year 13,64.0,62.85
ID_5952,F,53.4,21.9,83.4,78.4,1463.0,AUS,Foundation,37.65,60.525000000000006
ID_3817,F,70.0,66.6,74.0,89.0,1327.0,Middlesex Dubai,Foundation,68.3,71.15
ID_1806,F,74.0,71.4,69.9,75.2,1103.0,Heriot-Watt,Foundation,72.7,71.30000000000001
ID_2671,F,64.7,65.6,74.9,91.0,1519.0,Heriot-Watt,Foundation,65.15,70.025
ID_7203,F,69.6,81.4,68.5,84.4,769.0,KU,Foundation,75.5,72.0
ID_2718,F,71.0,52.8,73.1,78.7,1532.0,ADU,Foundation,61.9,67.5
ID_3883,F,68.9,74.7,46.1,81.5,1471.0,UOWD,Year 13,71.80000000000001,58.95
ID_4259,M,58.1,95.6,87.2,75.4,1773.0,UOWD,Foundation,76.85,82.025
ID_7163,F,72.2,58.3,69.4,73.1,1308.0,UOWD,Year 13,65.25,67.325
ID_7535,M,59.4,57.2,76.7,79.9,1401.0,AUS,Foundation,58.3,67.5
ID_9013,F,76.6,88.8,80.0,105.5,1139.0,Murdoch,Foundation,82.69999999999999,81.35
ID_6678,F,66.9,37.7,72.8,64.0,950.0,KU,Foundation,52.300000000000004,62.55
ID_8291,M,78.1,80.2,74.7,75.9,1302.0,UOWD,Foundation,79.15,76.92500000000001
ID_2242,F,69.8,54.1,78.9,60.3,1446.0,Heriot-Watt,Year 13,61.95,70.42500000000001
ID_2724,F,69.8,76.6,55.4,102.7,1102.0,UOWD,Foundation,73.19999999999999,64.3
ID_6440,M,69.4,61.5,92.1,61.5,997.0,BUiD,Foundation,65.45,78.775
ID_3118,F,92.1,60.8,86.4,64.6,1000.0,Heriot-Watt,Foundation,76.44999999999999,81.425
ID_6746,F,63.9,108.1,68.9,86.9,1475.0,UOWD,Foundation,86.0,77.45
ID_9017,F,89.5,96.2,63.1,78.8,1422.0,Manipal,Foundation,92.85,77.975
ID_6549,F,95.8,57.7,76.8,61.8,1157.0,UOWD,Foundation,76.75,76.775
ID_9172,M,88.0,51.9,70.5,72.8,1471.0,Uni of Dubai,Year 13,69.95,70.225
ID_6689,F,59.4,84.9,67.4,60.9,1775.0,Birmingham Uni,Year 13,72.15,69.775
ID_3451,F,65.2,60.0,81.4,92.7,1254.0,ADU,Year 13,62.6,72.0
ID_2149,F,70.6,52.1,84.3,78.7,1467.0,CUD,Year 13,61.349999999999994,72.82499999999999
ID_1715,M,92.9,75.2,66.5,82.3,1539.0,Heriot-Watt,Foundation,84.05000000000001,75.275
ID_4508,F,66.8,44.1,55.3,102.7,1124.0,Birmingham Uni,Year 13,55.45,55.375
ID_2856,M,66.7,59.5,61.6,89.0,1476.0,Zayed Uni,Foundation,63.1,62.35
ID_2585,M,74.0,61.7,77.8,75.0,1802.0,Zayed Uni,Foundation,67.85,72.82499999999999
ID_2576,F,77.4,79.7,64.6,84.0,1482.0,UOWD,Year 13,78.55000000000001,71.575
ID_4556,M,70.5,73.0,68.5,71.7,1547.0,AUD,Foundation,71.75,70.125
ID_8621,F,88.6,65.4,98.0,90.9,925.0,UOWD,Foundation,77.0,87.5
ID_5269,F,71.2,80.1,78.8,93.5,1568.0,ADU,Year 13,75.65,77.225
ID_3718,M,70.4,40.5,83.3,66.9,1722.0,Birmingham Uni,Foundation,55.45,69.375
ID_4221,M,63.7,98.4,78.9,63.6,1511.0,Amity,Foundation,81.05000000000001,79.97500000000001
ID_6155,F,87.9,52.8,60.5,64.7,1286.0,KU,Year 13,70.35,65.425
ID_6647,M,57.7,99.5,71.0,80.7,1633.0,RIT Dubai,Foundation,78.6,74.8
ID_6071,M,48.7,29.8,86.7,71.1,1445.0,Uni of Dubai,Foundation,39.25,62.975
ID_1968,M,57.5,53.7,76.8,96.5,1902.0,UOWD,Year 13,55.6,66.2
ID_9403,M,100.9,89.2,68.8,87.9,1398.0,KU,Foundation,95.05000000000001,81.92500000000001
ID_9708,M,89.7,61.6,70.5,86.4,1639.0,Murdoch,Foundation,75.65,73.075
ID_3648,F,71.3,94.6,70.7,67.4,1189.0,Heriot-Watt,Foundation,82.94999999999999,76.82499999999999
ID_8828,F,68.0,95.3,81.3,65.7,1864.0,Uni of Dubai,Year 13,81.65,81.475
ID_5467,F,88.3,76.6,86.5,74.3,1700.0,Middlesex Dubai,Year 13,82.44999999999999,84.475
ID_5782,M,40.9,55.2,63.8,79.7,958.0,KU,Foundation,48.05,55.925
ID_5575,M,74.8,62.0,85.3,75.7,1308.0,UOWD,Year 13,68.4,76.85
ID_8931,M,76.0,41.6,46.3,77.7,1843.0,Amity,Year 13,58.8,52.55
ID_3884,F,94.9,55.9,78.5,64.8,1499.0,KU,Foundation,75.4,76.95
ID_2987,M,61.4,63.0,73.0,67.5,1193.0,KU,Year 13,62.2,67.6
ID_2046,F,66.6,72.3,72.0,96.8,1268.0,RIT Dubai,Year 13,69.44999999999999,70.725
ID_4921,F,69.8,16.5,83.8,86.8,1330.0,AUD,Foundation,43.15,63.474999999999994
ID_1328,F,71.0,75.3,73.9,70.8,1621.0,Birmingham Uni,Year 13,73.15,73.525
ID_7331,F,56.2,80.9,62.5,81.5,1061.0,UOWD,Foundation,68.55000000000001,65.525
ID_1209,F,77.0,64.3,66.9,74.2,1293.0,AUS,Year 13,70.65,68.775
ID_6858,F,61.9,69.0,86.5,65.8,1415.0,Amity,Foundation,65.45,75.975
ID_9836,F,76.4,78.9,78.8,99.7,1379.0,Birmingham Uni,Foundation,77.65,78.225
ID_3653,M,57.6,73.7,84.0,49.6,1148.0,ADU,Year 13,65.65,74.825
ID_7951,F,79.3,106.1,89.0,78.7,1238.0,Birmingham Uni,Foundation,92.69999999999999,90.85
ID_5780,M,69.1,52.1,67.0,72.2,1162.0,KU,Foundation,60.599999999999994,63.8
